Id,When,Cal,Alberta,BritishColumbia,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
98707,1/1/1997 12:00:00 AM,Wheat excluding durum,,,,,196.84,,201.91,207.59,188.48,,11/7/2022 9:30:30 AM
98708,2/1/1997 12:00:00 AM,Wheat excluding durum,,,,,196.84,,206.8,203.81,189.53,,11/7/2022 9:30:30 AM
98709,3/1/1997 12:00:00 AM,Wheat excluding durum,,,,,199.34,,206.83,196.89,187.74,,11/7/2022 9:30:30 AM
98710,4/1/1997 12:00:00 AM,Wheat excluding durum,,,,,196.84,,204.33,201.5,183.46,,11/7/2022 9:30:30 AM
98711,5/1/1997 12:00:00 AM,Wheat excluding durum,,,,,189.34,,201.83,205.09,179.31,,11/7/2022 9:30:30 AM
98712,6/1/1997 12:00:00 AM,Wheat excluding durum,,,,,199.34,,206.83,197.62,167.68,,11/7/2022 9:30:30 AM
98713,7/1/1997 12:00:00 AM,Wheat excluding durum,,,,,189.34,,206.83,199.31,174.55,,11/7/2022 9:30:30 AM
98714,8/1/1997 12:00:00 AM,Wheat excluding durum,,,,,171.71,,186.75,177.37,172.91,,11/7/2022 9:30:30 AM
98715,9/1/1997 12:00:00 AM,Wheat excluding durum,,,,,167.71,,187.75,169.87,176.77,,11/7/2022 9:30:30 AM
98716,10/1/1997 12:00:00 AM,Wheat excluding durum,,,,,186.21,,192.75,173.37,175.86,,11/7/2022 9:30:30 AM
98717,11/1/1997 12:00:00 AM,Wheat excluding durum,,,,,184.21,,187.75,171.87,171.3,,11/7/2022 9:30:30 AM
98718,12/1/1997 12:00:00 AM,Wheat excluding durum,,,,,180.21,,190.25,178.87,181.28,,11/7/2022 9:30:30 AM
98719,1/1/1998 12:00:00 AM,Wheat excluding durum,,,,,186.81,,194.27,167.82,176.26,,11/7/2022 9:30:30 AM
98720,2/1/1998 12:00:00 AM,Wheat excluding durum,,,,,186.81,,187.9,173.05,177.22,,11/7/2022 9:30:30 AM
98721,3/1/1998 12:00:00 AM,Wheat excluding durum,,,,,186.81,,171.97,177.64,173.49,,11/7/2022 9:30:30 AM
98722,4/1/1998 12:00:00 AM,Wheat excluding durum,,,,,160,,197.45,179.17,171.06,,11/7/2022 9:30:30 AM
98723,5/1/1998 12:00:00 AM,Wheat excluding durum,,,,,186.81,,175,165,171.01,,11/7/2022 9:30:30 AM
98724,6/1/1998 12:00:00 AM,Wheat excluding durum,,,,,186.81,,183,169,171.03,,11/7/2022 9:30:30 AM
98725,7/1/1998 12:00:00 AM,Wheat excluding durum,,,,,186.81,,161,176.11,168.4,,11/7/2022 9:30:30 AM
98726,8/1/1998 12:00:00 AM,Wheat excluding durum,,,,,144.44,,149.35,122.08,151.91,,11/7/2022 9:30:30 AM
98727,9/1/1998 12:00:00 AM,Wheat excluding durum,,,,,136.11,,132.03,121.83,158.77,,11/7/2022 9:30:30 AM
98728,10/1/1998 12:00:00 AM,Wheat excluding durum,,,,,150,,128.79,152.05,160.07,,11/7/2022 9:30:30 AM
98729,11/1/1998 12:00:00 AM,Wheat excluding durum,,,,,194.44,,140.69,154.97,151.82,,11/7/2022 9:30:30 AM
98730,12/1/1998 12:00:00 AM,Wheat excluding durum,,,,,183.33,,171,148.39,145.18,,11/7/2022 9:30:30 AM
98731,1/1/1999 12:00:00 AM,Wheat excluding durum,,,,,144.44,,171,173.98,139.01,,11/7/2022 9:30:30 AM
98732,2/1/1999 12:00:00 AM,Wheat excluding durum,,,,,144.44,,173.16,153.51,142.58,,11/7/2022 9:30:30 AM
98733,3/1/1999 12:00:00 AM,Wheat excluding durum,,,,,155.56,,173.16,162.28,142.71,,11/7/2022 9:30:30 AM
98734,4/1/1999 12:00:00 AM,Wheat excluding durum,,,,,145,,168.83,172.51,140.05,,11/7/2022 9:30:30 AM
98735,5/1/1999 12:00:00 AM,Wheat excluding durum,,,,,144.44,,170,171,137.07,,11/7/2022 9:30:30 AM
98736,6/1/1999 12:00:00 AM,Wheat excluding durum,,,,,144.44,,165,167,141.99,,11/7/2022 9:30:30 AM
98737,7/1/1999 12:00:00 AM,Wheat excluding durum,,,,,144.44,,165,153.51,137.46,,11/7/2022 9:30:30 AM
98738,8/1/1999 12:00:00 AM,Wheat excluding durum,,,,,150.41,,166.12,152.72,148.19,,11/7/2022 9:30:30 AM
98739,9/1/1999 12:00:00 AM,Wheat excluding durum,,,,,171.81,,157.72,161.35,153.5,,11/7/2022 9:30:30 AM
98740,10/1/1999 12:00:00 AM,Wheat excluding durum,,,,,181.82,,156.25,161.87,150.48,,11/7/2022 9:30:30 AM
98741,11/1/1999 12:00:00 AM,Wheat excluding durum,,,,,166.67,,150,152.88,142.72,,11/7/2022 9:30:30 AM
98742,12/1/1999 12:00:00 AM,Wheat excluding durum,,,,,166.67,,156.25,153.15,144.66,,11/7/2022 9:30:30 AM
98743,1/1/2000 12:00:00 AM,Wheat excluding durum,,,,,160.28,,156.25,147.15,148.16,,11/7/2022 9:30:30 AM
98744,2/1/2000 12:00:00 AM,Wheat excluding durum,,,,,151.52,,156.25,162.5,139.77,,11/7/2022 9:30:30 AM
98745,3/1/2000 12:00:00 AM,Wheat excluding durum,,,,,166.67,,187.5,157.3,144.98,,11/7/2022 9:30:30 AM
98746,4/1/2000 12:00:00 AM,Wheat excluding durum,,,,,179.92,,181.82,160.56,151.32,,11/7/2022 9:30:30 AM
98747,5/1/2000 12:00:00 AM,Wheat excluding durum,,,,,151.52,,187.5,149.81,138.22,,11/7/2022 9:30:30 AM
98748,6/1/2000 12:00:00 AM,Wheat excluding durum,,,,,158.54,,187.5,155.53,158.35,,11/7/2022 9:30:30 AM
98749,7/1/2000 12:00:00 AM,Wheat excluding durum,,,,,160.87,,173.47,150.73,140.17,,11/7/2022 9:30:30 AM
98750,8/1/2000 12:00:00 AM,Wheat excluding durum,,,,,143.13,,135.06,127.04,143.33,,11/7/2022 9:30:30 AM
98751,9/1/2000 12:00:00 AM,Wheat excluding durum,,,,,163,,152.46,138.21,140.4,,11/7/2022 9:30:30 AM
98752,10/1/2000 12:00:00 AM,Wheat excluding durum,,,,,146.1,,158.33,133.91,148.35,,11/7/2022 9:30:30 AM
98753,11/1/2000 12:00:00 AM,Wheat excluding durum,,,,,171.21,,184.05,144.42,150.07,,11/7/2022 9:30:30 AM
98754,12/1/2000 12:00:00 AM,Wheat excluding durum,,,,,194.81,,181.99,150.49,154.56,,11/7/2022 9:30:30 AM
98755,1/1/2001 12:00:00 AM,Wheat excluding durum,,,,,184.85,,185.15,158.69,144.96,,11/7/2022 9:30:30 AM
98756,2/1/2001 12:00:00 AM,Wheat excluding durum,,,,,181.82,,184.21,164.53,145.04,,11/7/2022 9:30:30 AM
98757,3/1/2001 12:00:00 AM,Wheat excluding durum,,,,,181.82,,193.63,166.95,137.06,,11/7/2022 9:30:30 AM
98758,4/1/2001 12:00:00 AM,Wheat excluding durum,,,,,190.91,,191.3,151.79,144.89,,11/7/2022 9:30:30 AM
98759,5/1/2001 12:00:00 AM,Wheat excluding durum,,,,,188.17,,189.14,165.99,151.4,,11/7/2022 9:30:30 AM
98760,6/1/2001 12:00:00 AM,Wheat excluding durum,,,,,187.01,,194.49,165.99,146.16,,11/7/2022 9:30:30 AM
98761,7/1/2001 12:00:00 AM,Wheat excluding durum,,,,,190.8,,200.27,165.99,150.88,,11/7/2022 9:30:30 AM
98762,8/1/2001 12:00:00 AM,Wheat excluding durum,,,,,192.83,,169.04,150.5,150.24,,11/7/2022 9:30:30 AM
98763,9/1/2001 12:00:00 AM,Wheat excluding durum,,,,,186.89,,172.83,160.88,158.88,,11/7/2022 9:30:30 AM
98764,10/1/2001 12:00:00 AM,Wheat excluding durum,,,,,200,,195.37,157.02,160.21,,11/7/2022 9:30:30 AM
98765,11/1/2001 12:00:00 AM,Wheat excluding durum,,,,,185,,212,166,161.3,,11/7/2022 9:30:30 AM
98766,12/1/2001 12:00:00 AM,Wheat excluding durum,,,,,190,,187.26,175,161.1,,11/7/2022 9:30:30 AM
98767,1/1/2002 12:00:00 AM,Wheat excluding durum,,,,,190,,198.73,179.35,167.65,,11/7/2022 9:30:30 AM
98768,2/1/2002 12:00:00 AM,Wheat excluding durum,,,,,185,,198.94,182.24,175.33,,11/7/2022 9:30:30 AM
98769,3/1/2002 12:00:00 AM,Wheat excluding durum,,,,,195,,222,182.15,182.74,,11/7/2022 9:30:30 AM
98770,4/1/2002 12:00:00 AM,Wheat excluding durum,,,,,190,,200.22,176.17,179.44,,11/7/2022 9:30:30 AM
98771,5/1/2002 12:00:00 AM,Wheat excluding durum,,,,,184.8,,217,186,185.19,,11/7/2022 9:30:30 AM
98772,6/1/2002 12:00:00 AM,Wheat excluding durum,,,,,206,,209,186,182.44,,11/7/2022 9:30:30 AM
98773,7/1/2002 12:00:00 AM,Wheat excluding durum,,,,,192.34,,221,184,192.89,,11/7/2022 9:30:30 AM
98774,8/1/2002 12:00:00 AM,Wheat excluding durum,,,,,184,,180,159,182.41,,11/7/2022 9:30:30 AM
98775,9/1/2002 12:00:00 AM,Wheat excluding durum,,,,,160,,171,158,196.69,,11/7/2022 9:30:30 AM
98776,10/1/2002 12:00:00 AM,Wheat excluding durum,,,,,166,,249,173,209.04,,11/7/2022 9:30:30 AM
98777,11/1/2002 12:00:00 AM,Wheat excluding durum,,,,,166,,250,175,188.87,,11/7/2022 9:30:30 AM
98778,12/1/2002 12:00:00 AM,Wheat excluding durum,,,,,170,,215,175,194.89,,11/7/2022 9:30:30 AM
98779,1/1/2003 12:00:00 AM,Wheat excluding durum,,,,,180,,205,179,188.79,,11/7/2022 9:30:30 AM
98780,2/1/2003 12:00:00 AM,Wheat excluding durum,,,,,175,,203,188,199.79,,11/7/2022 9:30:30 AM
98781,3/1/2003 12:00:00 AM,Wheat excluding durum,,,,,185,,203,185,195.71,,11/7/2022 9:30:30 AM
98782,4/1/2003 12:00:00 AM,Wheat excluding durum,,,,,199,,210,181,197.21,,11/7/2022 9:30:30 AM
98783,5/1/2003 12:00:00 AM,Wheat excluding durum,,,,,203,,214,181,191.1,,11/7/2022 9:30:30 AM
98784,6/1/2003 12:00:00 AM,Wheat excluding durum,,,,,200,,218,183,181.5,,11/7/2022 9:30:30 AM
98785,7/1/2003 12:00:00 AM,Wheat excluding durum,,,,,200,,217,167,179.72,,11/7/2022 9:30:30 AM
98786,8/1/2003 12:00:00 AM,Wheat excluding durum,,,,,179,,186,149,145.89,,11/7/2022 9:30:30 AM
98787,9/1/2003 12:00:00 AM,Wheat excluding durum,,,,,191,,200,162,160.8,,11/7/2022 9:30:30 AM
98788,10/1/2003 12:00:00 AM,Wheat excluding durum,,,,,200,,217,160,144.72,,11/7/2022 9:30:30 AM
98789,11/1/2003 12:00:00 AM,Wheat excluding durum,,,,,205,,199,169,162.89,,11/7/2022 9:30:30 AM
98790,12/1/2003 12:00:00 AM,Wheat excluding durum,,,,,203,,200,173,152.13,,11/7/2022 9:30:30 AM
98791,1/1/2004 12:00:00 AM,Wheat excluding durum,,,,,190,,200,165,152.45,,11/7/2022 9:30:30 AM
98792,2/1/2004 12:00:00 AM,Wheat excluding durum,,,,,215,,200,167,162.55,,11/7/2022 9:30:30 AM
98793,3/1/2004 12:00:00 AM,Wheat excluding durum,,,,,215,,200,167,157.95,,11/7/2022 9:30:30 AM
98794,4/1/2004 12:00:00 AM,Wheat excluding durum,,,,,210,,220,173,166.18,,11/7/2022 9:30:30 AM
98795,5/1/2004 12:00:00 AM,Wheat excluding durum,,,,,205,,222,171,166.37,,11/7/2022 9:30:30 AM
98796,6/1/2004 12:00:00 AM,Wheat excluding durum,,,,,225,,229,171,162.35,,11/7/2022 9:30:30 AM
98797,7/1/2004 12:00:00 AM,Wheat excluding durum,,,,,235,,235,169,171.43,,11/7/2022 9:30:30 AM
98798,8/1/2004 12:00:00 AM,Wheat excluding durum,,,,,221,,225,165,137.33,,11/7/2022 9:30:30 AM
98799,9/1/2004 12:00:00 AM,Wheat excluding durum,,,,,218,,207,153,141.08,,11/7/2022 9:30:30 AM
98800,10/1/2004 12:00:00 AM,Wheat excluding durum,,,,,175,,204,143,142.07,,11/7/2022 9:30:30 AM
98801,11/1/2004 12:00:00 AM,Wheat excluding durum,,,,,165,,180,145,147.03,,11/7/2022 9:30:30 AM
98802,12/1/2004 12:00:00 AM,Wheat excluding durum,,,,,155,,160,144,144.5,,11/7/2022 9:30:30 AM
98803,1/1/2005 12:00:00 AM,Wheat excluding durum,,,,,145,,150,142,134.46,,11/7/2022 9:30:30 AM
98804,2/1/2005 12:00:00 AM,Wheat excluding durum,,,,,129,,150,146,137.66,,11/7/2022 9:30:30 AM
98805,3/1/2005 12:00:00 AM,Wheat excluding durum,,,,,135,,150,148,137.73,,11/7/2022 9:30:30 AM
98806,4/1/2005 12:00:00 AM,Wheat excluding durum,,,,,140,,150,142,125.92,,11/7/2022 9:30:30 AM
98807,5/1/2005 12:00:00 AM,Wheat excluding durum,,,,,140,,150,140,130.8,,11/7/2022 9:30:30 AM
98808,6/1/2005 12:00:00 AM,Wheat excluding durum,,,,,145,,150,150,132.67,,11/7/2022 9:30:30 AM
98809,7/1/2005 12:00:00 AM,Wheat excluding durum,,,,,145,,150,149,130,,11/7/2022 9:30:30 AM
98810,8/1/2005 12:00:00 AM,Wheat excluding durum,,,,,125,,152,128,107.27,,11/7/2022 9:30:30 AM
98811,9/1/2005 12:00:00 AM,Wheat excluding durum,,,,,120,,133,146,111.81,,11/7/2022 9:30:30 AM
98812,10/1/2005 12:00:00 AM,Wheat excluding durum,,,,,115,,130,145,150.88,,11/7/2022 9:30:30 AM
98813,11/1/2005 12:00:00 AM,Wheat excluding durum,,,,,110,,130,145,120.56,,11/7/2022 9:30:30 AM
98814,12/1/2005 12:00:00 AM,Wheat excluding durum,,,,,105,,130,150,126.34,,11/7/2022 9:30:30 AM
98815,1/1/2006 12:00:00 AM,Wheat excluding durum,,,,,110,,135,154,143.92,,11/7/2022 9:30:30 AM
98816,2/1/2006 12:00:00 AM,Wheat excluding durum,,,,,110,,140,142,147.67,,11/7/2022 9:30:30 AM
98817,3/1/2006 12:00:00 AM,Wheat excluding durum,,,,,110,,150,138,162.16,,11/7/2022 9:30:30 AM
98818,4/1/2006 12:00:00 AM,Wheat excluding durum,,,,,110,,165,138,149.99,,11/7/2022 9:30:30 AM
98819,5/1/2006 12:00:00 AM,Wheat excluding durum,,,,,130,,168,185,144.12,,11/7/2022 9:30:30 AM
98820,6/1/2006 12:00:00 AM,Wheat excluding durum,,,,,140,,173,176,146.37,,11/7/2022 9:30:30 AM
98821,7/1/2006 12:00:00 AM,Wheat excluding durum,,,,,145,,175,188,140.28,,11/7/2022 9:30:30 AM
98822,8/1/2006 12:00:00 AM,Wheat excluding durum,,,,,176,,152,160,181.1,,11/7/2022 9:30:30 AM
98823,9/1/2006 12:00:00 AM,Wheat excluding durum,,,,,170,,150,165,171.82,,11/7/2022 9:30:30 AM
98824,10/1/2006 12:00:00 AM,Wheat excluding durum,,,,,170,,170,168,182.06,,11/7/2022 9:30:30 AM
98825,11/1/2006 12:00:00 AM,Wheat excluding durum,,,,,170,,201,180,170.64,,11/7/2022 9:30:30 AM
98826,12/1/2006 12:00:00 AM,Wheat excluding durum,,,,,180,,197,180,180.08,,11/7/2022 9:30:30 AM
98827,1/1/2007 12:00:00 AM,Wheat excluding durum,,,,,185,,205,185,187.83,,11/7/2022 9:30:30 AM
98828,2/1/2007 12:00:00 AM,Wheat excluding durum,,,,,185,,204,190,191.16,,11/7/2022 9:30:30 AM
98829,3/1/2007 12:00:00 AM,Wheat excluding durum,,,,,190,,211,209,189.95,,11/7/2022 9:30:30 AM
98830,4/1/2007 12:00:00 AM,Wheat excluding durum,,,,,208,,218,212,189.87,,11/7/2022 9:30:30 AM
98831,5/1/2007 12:00:00 AM,Wheat excluding durum,,,,,210,,228,212,187.03,,11/7/2022 9:30:30 AM
98832,6/1/2007 12:00:00 AM,Wheat excluding durum,,,,,180,,232,209,188.25,,11/7/2022 9:30:30 AM
98833,7/1/2007 12:00:00 AM,Wheat excluding durum,,,,,180,,230,205,195.2,,11/7/2022 9:30:30 AM
98834,8/1/2007 12:00:00 AM,Wheat excluding durum,,,,,185,,200,175,231.2,,11/7/2022 9:30:30 AM
98835,9/1/2007 12:00:00 AM,Wheat excluding durum,,,,,185,,184,182,253.07,,11/7/2022 9:30:30 AM
98836,10/1/2007 12:00:00 AM,Wheat excluding durum,,,,,175,,196,213,252.04,,11/7/2022 9:30:30 AM
98837,11/1/2007 12:00:00 AM,Wheat excluding durum,,,,,180,,245,221,218.86,,11/7/2022 9:30:30 AM
98838,12/1/2007 12:00:00 AM,Wheat excluding durum,,,,,190,,256,248,244.51,,11/7/2022 9:30:30 AM
98839,1/1/2008 12:00:00 AM,Wheat excluding durum,,,,,205,,248,252,286.27,,11/7/2022 9:30:30 AM
98840,2/1/2008 12:00:00 AM,Wheat excluding durum,,,,,260,,259,246,292.25,,11/7/2022 9:30:30 AM
98841,3/1/2008 12:00:00 AM,Wheat excluding durum,,,,,292,,248,292,296.85,,11/7/2022 9:30:30 AM
98842,4/1/2008 12:00:00 AM,Wheat excluding durum,,,,,275,,284,263,303.95,,11/7/2022 9:30:30 AM
98843,5/1/2008 12:00:00 AM,Wheat excluding durum,,,,,275,,283,261,299.18,,11/7/2022 9:30:30 AM
98844,6/1/2008 12:00:00 AM,Wheat excluding durum,,,,,260,,275,231,303.09,,11/7/2022 9:30:30 AM
98845,7/1/2008 12:00:00 AM,Wheat excluding durum,,,,,259,,281,283,316.46,,11/7/2022 9:30:30 AM
98846,8/1/2008 12:00:00 AM,Wheat excluding durum,,,,,237,,251,274,218,,11/7/2022 9:30:30 AM
98847,9/1/2008 12:00:00 AM,Wheat excluding durum,,,,,225,,249,269,226.27,,11/7/2022 9:30:30 AM
98848,10/1/2008 12:00:00 AM,Wheat excluding durum,,,,,230,,223,266,246.71,,11/7/2022 9:30:30 AM
98849,11/1/2008 12:00:00 AM,Wheat excluding durum,,,,,250,,262,265,257.57,,11/7/2022 9:30:30 AM
98850,12/1/2008 12:00:00 AM,Wheat excluding durum,,,,,235,,243,270,276.04,,11/7/2022 9:30:30 AM
98851,1/1/2009 12:00:00 AM,Wheat excluding durum,,,,,220,,240,280,259.53,,11/7/2022 9:30:30 AM
98852,2/1/2009 12:00:00 AM,Wheat excluding durum,,,,,228,,237,270,240.65,,11/7/2022 9:30:30 AM
98853,3/1/2009 12:00:00 AM,Wheat excluding durum,,,,,223,,231,250,226.11,,11/7/2022 9:30:30 AM
98854,4/1/2009 12:00:00 AM,Wheat excluding durum,,,,,211,,234,240,224.93,,11/7/2022 9:30:30 AM
98855,5/1/2009 12:00:00 AM,Wheat excluding durum,,,,,211,,229,230,230.6,,11/7/2022 9:30:30 AM
98856,6/1/2009 12:00:00 AM,Wheat excluding durum,,,,,213,,243,220,224.79,,11/7/2022 9:30:30 AM
98857,7/1/2009 12:00:00 AM,Wheat excluding durum,,,,,219,,231,219,206.59,,11/7/2022 9:30:30 AM
98858,8/1/2009 12:00:00 AM,Wheat excluding durum,,,,,210,,224,212,154.94,,11/7/2022 9:30:30 AM
98859,9/1/2009 12:00:00 AM,Wheat excluding durum,,,,,207,,236,182,160.17,,11/7/2022 9:30:30 AM
98860,10/1/2009 12:00:00 AM,Wheat excluding durum,,,,,195,,224,184,150.72,,11/7/2022 9:30:30 AM
98861,11/1/2009 12:00:00 AM,Wheat excluding durum,,,,,195,,223,193,157.5,,11/7/2022 9:30:30 AM
