riskarea,crop,field,coverage,premium
2,HRS,F,60,0.0113
2,HRS,F,70,0.0158
2,HRS,F,80,0.0221
2,HRS,S,50,0.0096
2,HRS,S,60,0.0167
2,HRS,S,70,0.0231
2,HRS,S,80,0.0312
2,HRS,I,50,0.0047
2,HRS,I,60,0.0083
2,HRS,I,70,0.0110
2,HRS,I,80,0.0148
4,barley,F,50,0.0201
4,barley,F,60,0.0339
4,barley,F,70,0.0477
4,barley,F,80,0.0651
4,barley,S,50,0.0329
4,barley,S,60,0.0507
4,barley,S,70,0.0680
4,barley,S,80,0.0896
4,barley,I,50,0.0039
4,barley,I,60,0.0077
4,barley,I,70,0.0111
4,barley,I,80,0.0159
4,canolaargentine,F,50,0.0246
4,canolaargentine,F,60,0.0396
4,canolaargentine,F,70,0.0546
4,canolaargentine,F,80,0.0733
4,canolaargentine,S,50,0.0381
4,canolaargentine,S,60,0.0585
4,canolaargentine,S,70,0.0775
4,canolaargentine,S,80,0.1008
4,canolaargentine,I,50,0.0065
4,canolaargentine,I,60,0.0122
4,canolaargentine,I,70,0.0173
4,canolaargentine,I,80,0.0241
4,canolapolish,F,50,0.0351
4,canolapolish,F,60,0.0564
4,canolapolish,F,70,0.0781
4,canolapolish,F,80,0.1054
4,canolapolish,S,50,0.0669
4,canolapolish,S,60,0.1021
4,canolapolish,S,70,0.1364
4,canolapolish,S,80,0.1781
4,canolapolish,I,50,0.0105
4,canolapolish,I,60,0.0194
4,canolapolish,I,70,0.0287
4,canolapolish,I,80,0.0409
4,HRS,F,50,0.01442
4,HRS,F,60,0.02637
4,HRS,F,70,0.03841
4,HRS,F,80,0.05362
4,HRS,S,50,0.02168
4,HRS,S,60,0.03477
4,HRS,S,70,0.04757
4,HRS,S,80,0.06338
4,HRS,I,50,0.00349
4,HRS,I,60,0.00641
4,HRS,I,70,0.00841
4,HRS,I,80,0.01120
